matchID,map,p_model,mc_mean,mc_se
2368924,Ancient,0.8139110676225999,0.8162,0.3873597417309945
2368925,Vertigo,0.7690071519577242,0.7718,0.4197141789341881
2368916,Anubis,0.4879804006007096,0.4962,0.5000355658484931
2368916,Overpass,0.4631318765891778,0.4692,0.49910037090353604
2368916,Mirage,0.691896452072004,0.6982,0.45908486337752025
2368918,Mirage,0.6411041251929283,0.648,0.47764173637326246
2368918,Nuke,0.6892297453584971,0.6958,0.46011379129535773
2368918,Ancient,0.5254952556049587,0.5374,0.4986491453858502
2368920,Nuke,0.598013614620118,0.608,0.48824550866889405
2368915,Anubis,0.6945995589713716,0.7004,0.4581286024286987
2368915,Ancient,0.5361378022133785,0.547,0.4978358847186719
2368909,Ancient,0.5714707479417745,0.5818,0.4933127116609679
2368914,Nuke,0.5931577292958083,0.602,0.48953440000244836
2368907,Mirage,0.6816440021570432,0.6884,0.46319364165533833
2368892,Vertigo,0.7143763585428444,0.7184,0.4498243083490224
2368895,Nuke,0.4315560155837046,0.4356,0.4958848862025065
2368904,Ancient,0.7842427323914869,0.7876,0.4090473125945068
2368893,Ancient,0.3759575437099531,0.3814,0.4857789993888677
2368906,Anubis,0.27522110442825803,0.2834,0.4506939815584435
2368896,Inferno,0.7646994751486246,0.7682,0.4220241472666881
2368891,Ancient,0.5624846744282078,0.5722,0.4948091826405863
2368819,Anubis,0.2600609440190083,0.2672,0.4425418948141895
2368890,Default,0.6609417929924424,0.6696,0.4704041836752771
2368817,Ancient,0.6295507506512473,0.6368,0.4809698809751823
2368818,Overpass,0.31017521729475483,0.318,0.465746050843993
2368815,Anubis,0.4886191416358813,0.4964,0.500037046037073
2368815,Ancient,0.5280915855151616,0.539,0.498526534640984
2368888,Overpass,0.5946597783926355,0.6042,0.48907074952363283
2368889,Anubis,0.640492074296124,0.6476,0.47776551987182553
2368850,Nuke,0.6167836409008588,0.6256,0.4840160062424173
2368803,Ancient,0.7093695158335174,0.7132,0.45231258807982244
2368849,Inferno,0.7060609090982009,0.7106,0.453529246857963
2368848,Ancient,0.6964862173726857,0.702,0.4574252371366428
2368847,Ancient,0.5964403118461222,0.6068,0.4885094556890988
2368847,Nuke,0.640258908063335,0.6472,0.47788893643514424
2368847,Vertigo,0.3646768391309672,0.3712,0.48317414195121206
2368845,Nuke,0.8040715167248137,0.8076,0.3942249645374236
2368845,Ancient,0.6868762641788729,0.6946,0.46062270314752285
2368845,Mirage,0.6027756634559381,0.6124,0.4872511906035211
2368798,Nuke,0.6468234703507078,0.6522,0.4763197834514345
2368798,Anubis,0.6418672300683381,0.6486,0.4774553724973103
2368846,Mirage,0.7174790973221835,0.7212,0.4484537681371752
2368846,Ancient,0.758427667473899,0.7618,0.4260247169025318
2368844,Overpass,0.45055462560009335,0.457,0.49819739072783753
2368844,Ancient,0.5524900909305772,0.5612,0.4962900570877406
2368797,Nuke,0.7651619936232181,0.7696,0.42113098943446614
2368801,Anubis,0.7343158662099857,0.7368,0.4404140698372182
2368801,Overpass,0.6634848131003064,0.6718,0.4696050103791
2368801,Mirage,0.7470341233354109,0.7482,0.4340903671925673
2368794,Inferno,0.6867253499872585,0.6942,0.4607915209345253
2368790,Nuke,0.8009222061739065,0.8048,0.3963942301259384
2368792,Overpass,0.7055144323657693,0.7104,0.45362208345595323
2368843,Vertigo,0.5991355363615646,0.6088,0.4880678252460493
2368837,Overpass,0.5826274359998708,0.5906,0.491772313171045
2368841,Inferno,0.7199457441183725,0.7234,0.4473616730267566
2368860,Ancient,0.34851228724891187,0.3602,0.4801063011584855
2368842,Nuke,0.5347888347778609,0.5464,0.497892176403551
2368840,Ancient,0.575079717982935,0.5854,0.49270213220384546
2368836,Ancient,0.5289802789829899,0.5398,0.49846329165809805
2368858,Ancient,0.3465527294263403,0.3588,0.47969634323845256
2368858,Anubis,0.4981063169410687,0.5074,0.49999523902514265
2368858,Overpass,0.691440745959782,0.6974,0.45942948870421696
2368831,Overpass,0.41648739696561166,0.4206,0.4937047588162135
2368824,Anubis,0.4837509331052876,0.4936,0.5000090417266089
2368830,Overpass,0.642108337055845,0.6486,0.4774553724973103
2368835,Overpass,0.6905335083830728,0.697,0.4596011821670282
2368833,Anubis,0.7896454729574158,0.7916,0.4062049242538766
2368856,Anubis,0.6948503208080234,0.7008,0.45795338655899487
2368827,Vertigo,0.578611462263043,0.5868,0.49245737160953384
2368821,Ancient,0.6220053773823744,0.6322,0.4822547811424859
2368853,Default,0.6256034858585048,0.634,0.48175763417263734
2368919,Overpass,0.5380950680886486,0.5494,0.49760341822817744
2368826,Anubis,0.4530551585327157,0.4598,0.49843118555056914
2368855,Overpass,0.4921960219546287,0.5002,0.5000499674972481
2368855,Ancient,0.5271520765429795,0.538,0.4986037716907373
2368855,Vertigo,0.5178469191548577,0.5278,0.49927649193916646
2368851,Ancient,0.5346049552635402,0.5462,0.49791077818079593
2368851,Nuke,0.5434322938205662,0.5534,0.4971899833825246
2368786,Inferno,0.6370387797123225,0.6436,0.47898321994094634
